id,num_events,total_count,tx_fatal,tx_event,time,students,took_damage,Q5_2_aUsedForBefore4,QII_1Province,elementary,high_school,school_levels
1018,0,0,0,0,post,256,0,NA,3,1,1,2
1939,0,0,0,0,post,313,0,NA,19,1,1,2
2310,0,0,0,0,post,309,0,NA,24,1,1,2
2918,0,0,0,0,post,445,0,NA,31,1,1,2
4167,0,0,0,0,post,546,0,NA,25,1,1,2
3358,0,0,0,0,post,567,0,NA,1,1,1,2
1121,160,2535,1,1,post,649,0,NA,2,1,1,2
34,0,0,0,0,post,730,0,NA,2,1,1,2
2008,0,0,0,0,post,143,1,Armed Groups,19,0,1,1
2917,9,23,1,1,post,147,0,NA,31,0,1,1
478,34,155,1,1,post,73,0,NA,13,1,0,1
4507,0,0,0,0,post,52,0,NA,29,1,0,1
2461,0,0,0,0,post,43,0,NA,24,1,0,1
2744,0,0,0,0,post,37,1,NA,31,1,0,1
2285,0,0,0,0,post,60,0,NA,24,1,0,1
3674,0,0,0,0,post,71,0,NA,1,1,0,1
4291,0,0,0,0,post,89,1,NA,25,1,0,1
4288,0,0,0,0,post,102,1,NA,25,1,0,1
2455,0,0,0,0,post,105,0,NA,24,1,0,1
1808,0,0,0,0,post,119,1,NA,19,1,0,1
2454,0,0,0,0,post,143,0,NA,24,1,0,1
4144,2,0,0,1,post,139,1,NA,25,1,0,1
2057,0,0,0,0,post,191,1,NA,19,1,0,1
2039,8,7,1,1,post,208,1,NA,19,1,0,1
1718,0,0,0,0,post,212,1,NA,16,1,0,1
1044,0,0,0,0,post,216,0,NA,3,1,0,1
2190,0,0,0,0,post,250,0,NA,24,1,0,1
3135,0,0,0,0,post,257,1,NA,28,1,0,1
3365,0,0,0,0,post,305,0,NA,1,1,0,1
4032,0,0,0,0,post,316,1,NA,28,1,0,1
3481,0,0,0,0,post,408,0,NA,1,1,0,1
119,1,4,1,1,post,605,0,NA,2,1,0,1
169,160,2535,1,1,post,859,1,NA,2,1,0,1
308,0,0,0,0,post,976,1,NA,2,1,0,1
334,161,2539,1,1,post,93,0,NA,2,1,1,2
2360,0,0,0,0,post,260,0,NA,24,1,1,2
809,93,728,1,1,post,422,0,NA,3,1,1,2
642,0,0,0,0,post,677,0,Armed Groups,2,1,1,2
3503,0,0,0,0,post,306,0,NA,1,1,1,2
4907,8,10,1,1,post,643,0,NA,21,1,1,2
3346,1,0,0,1,post,290,1,NA,30,0,1,1
2834,0,0,0,0,post,21,0,NA,31,1,0,1
528,34,155,1,1,post,263,1,NA,13,1,0,1
1400,0,0,0,0,post,201,0,NA,17,1,1,2
1216,5,8,1,1,post,182,1,NA,15,1,1,2
1559,0,0,0,0,post,211,0,NA,16,1,1,2
1023,0,0,0,0,post,189,0,NA,3,1,1,2
446,0,0,0,0,post,364,0,NA,13,1,1,2
100,160,2535,1,1,post,200,1,NA,2,1,1,2
1145,1,0,0,1,post,370,1,NA,3,1,1,2
158,3,4,1,1,post,557,0,NA,2,1,1,2
4487,0,0,0,0,post,21,0,NA,29,0,1,1
4473,0,0,0,0,post,73,0,NA,29,0,1,1
4968,1,0,0,1,post,319,1,NA,23,0,1,1
3958,5,45,1,1,post,222,0,NA,28,1,0,1
1011,0,0,0,0,post,247,1,NA,3,1,0,1
3074,0,0,0,0,post,422,0,NA,28,1,0,1
4069,0,0,0,0,post,347,0,NA,25,1,0,1
4970,1,0,0,1,post,338,1,NA,23,1,0,1
185,3,4,1,1,post,558,0,NA,2,1,0,1
2670,1,0,0,1,post,795,0,NA,24,1,1,2
4626,1,0,0,1,post,348,1,NA,22,1,0,1
4151,0,0,0,0,post,27,1,NA,25,1,1,2
4898,0,0,0,0,post,38,1,NA,21,1,1,2
66,0,0,0,0,post,130,1,NA,2,1,1,2
860,0,0,0,0,post,166,0,NA,3,1,1,2
1931,0,0,0,0,post,169,0,NA,19,1,1,2
1376,0,0,0,0,post,232,1,NA,17,1,1,2
3993,5,45,1,1,post,256,1,NA,28,1,1,2
3160,0,0,0,0,post,278,1,NA,28,1,1,2
2993,0,0,0,0,post,391,0,NA,24,1,1,2
3971,5,45,1,1,post,540,0,NA,28,1,1,2
1547,0,0,0,0,post,513,1,NA,16,1,1,2
4447,0,0,0,0,post,179,0,NA,29,0,1,1
267,4,0,0,1,post,229,0,NA,2,1,0,1
4001,5,45,1,1,post,241,1,NA,28,1,0,1
3991,5,45,1,1,post,241,1,NA,28,1,0,1
159,3,4,1,1,post,385,0,NA,2,1,0,1
3972,5,45,1,1,post,455,0,NA,28,1,0,1
3866,0,0,0,0,post,131,1,NA,27,1,1,2
386,158,2535,1,1,post,416,1,NA,2,1,1,2
3868,0,0,0,0,post,101,1,NA,27,1,0,1
4118,0,0,0,0,post,222,1,NA,25,1,0,1
4114,0,0,0,0,post,235,1,NA,25,1,0,1
670,160,2535,1,1,post,178,0,NA,2,1,1,2
2618,36,236,1,1,post,181,0,NA,24,1,1,2
